Event ID,Magnitude,Datetime UTC,Latitude,Longitude,Region,Depth(KM,Auth
20181115_0000109,ml 3.3,2018-11-15T20:04:53.7Z,40.79,31.02,WESTERN TURKEY,10,ISK
20181115_0000107,md 2.7,2018-11-15T19:48:30.6Z,36.68,-121.3,CENTRAL CALIFORNIA,4,NC
20181115_0000108,ml 3.9,2018-11-15T19:45:03.8Z,34.61,46.41,WESTERN IRAN,2,EMSC
20181115_0000106,md 2.6,2018-11-15T19:41:00.8Z,38.81,-122.79,NORTHERN CALIFORNIA,3,NC
20181115_0000105,ml 4.6,2018-11-15T18:13:25.8Z,53.8,-166.21,"FOX ISLANDS, ALEUTIAN ISLANDS",73,NEIR
20181115_0000104,ml 2.8,2018-11-15T17:38:07.9Z,45.79,26.54,ROMANIA,124,BUC
20181115_0000100,mb 4.6,2018-11-15T17:17:00.0Z,37.63,20.37,IONIAN SEA,2,EMSC
20181115_0000103,mb 4.8,2018-11-15T17:09:51.5Z,-22.06,170.34,SOUTHEAST OF LOYALTY ISLANDS,35,NEIC
20181115_0000099,mw 5.4,2018-11-15T16:49:41.3Z,-56.84,-25.59,SOUTH SANDWICH ISLANDS REGION,10,EMSC
20181115_0000097,md 2.5,2018-11-15T16:48:18.5Z,36.68,-121.3,CENTRAL CALIFORNIA,4,NC
20181115_0000018,md 3.3,2018-11-15T02:54:43.9Z,19.34,-68.39,DOMINICAN REPUBLIC REGION,89,NEIR
20181115_0000008,m 3.9,2018-11-15T02:51:00.0Z,6.81,-73.13,NORTHERN COLOMBIA,147,RSNC
20181115_0000005,ml 4.0,2018-11-15T01:57:41.5Z,37.39,20.47,IONIAN SEA,10,EMSC
20181115_0000026,md 3.3,2018-11-15T01:50:56.2Z,19.25,-68.72,DOMINICAN REPUBLIC REGION,28,NEIR
20181115_0000027,md 3.2,2018-11-15T01:38:29.6Z,19.29,-68.46,DOMINICAN REPUBLIC REGION,66,NEIR
20181115_0000003,ml 3.0,2018-11-15T01:02:55.1Z,42.69,13.24,CENTRAL ITALY,11,ROM
20181115_0000004,m 3.8,2018-11-15T00:54:10.0Z,-24.02,-67.31,"SALTA, ARGENTINA",224,NSNA
20181115_0000002,ml 2.5,2018-11-15T00:48:51.3Z,37.41,-97.41,KANSAS,5,NEIC
20181115_0000001,mw 5.1,2018-11-15T00:09:05.5Z,71.36,-9.27,JAN MAYEN ISLAND REGION,10,EMSC
20181114_0000114,ml 3.9,2018-11-14T23:57:10.1Z,37.26,20.7,IONIAN SEA,2,EMSC
20181114_0000113,ml 2.4,2018-11-14T23:38:52.6Z,39.41,15.37,SOUTHERN ITALY,248,ROM
20181114_0000112,mb 4.8,2018-11-14T23:31:24.9Z,-2.96,119.38,"SULAWESI, INDONESIA",10,EMSC
20181114_0000111,m 2.4,2018-11-14T23:16:13.4Z,49.33,19.59,SLOVAKIA,10,BUD
20181114_0000110,mw 5.6,2018-11-14T23:01:20.9Z,-2.89,119.42,"SULAWESI, INDONESIA",10,EMSC
20181114_0000109,ml 2.8,2018-11-14T22:41:51.0Z,40.84,19.85,ALBANIA,2,EMSC
20181114_0000107,m 3.2,2018-11-14T22:24:30.0Z,9.75,-83.94,COSTA RICA,4,UCR
20181114_0000105,ml 2.1,2018-11-14T22:10:51.7Z,32.94,-115.55,SOUTHERN CALIFORNIA,16,NEIR
20181114_0000106,ml 2.3,2018-11-14T22:10:51.6Z,39.78,43.56,EASTERN TURKEY,7,DDA
20181114_0000104,ml 2.1,2018-11-14T21:53:12.8Z,64.29,-148.5,CENTRAL ALASKA,9,MCSM
20181114_0000117,mb 4.3,2018-11-14T21:52:19.5Z,55.63,162.36,NEAR EAST COAST OF KAMCHATKA,70,OBN
20181114_0000103,ml 3.2,2018-11-14T21:51:22.9Z,42.65,-111.45,SOUTHERN IDAHO,3,NEIC
20181114_0000101,ml 3.6,2018-11-14T21:32:03.4Z,27.72,53.67,SOUTHERN IRAN,10,TEH
